name,type,start_time,duration,data,error
Prototype,data,0.497241,0.0009895,3,
Prototype,data,0.4982823,0.0009895,2,
Prototype,data,0.4993236,0.0009895,"
",
Prototype,data,0.5003649,0.0009895,1,
Prototype,data,0.5014063,0.0009895,2,
Prototype,data,0.5024476,0.0009895,8,
Prototype,data,0.5034889,0.0009895,",",
Prototype,data,0.5045302,0.0009895,1,
Prototype,data,0.5055715,0.0009895,3,
Capnostat,data,0.5059565,0.0009895,4,
Prototype,data,0.5066128,0.0009895,2,
Capnostat,data,0.5071022,0.0009895,0,
Prototype,data,0.5076542,0.0009895,"
",
Prototype,data,0.5086955,0.0009895,1,
Prototype,data,0.5097368,0.0009895,3,
Prototype,data,0.5107781,0.0009895,0,
Prototype,data,0.5118194,0.0009895,",",
Prototype,data,0.5128607,0.0009895,1,
Prototype,data,0.513902,0.0009895,3,
Prototype,data,0.5149434,0.0009895,1,
Prototype,data,0.5159847,0.0009895,"
",
Prototype,data,0.517026,0.0009895,1,
Prototype,data,0.5180673,0.0009895,2,
Prototype,data,0.5191086,0.0009895,7,
Prototype,data,0.5201499,0.0009895,",",
Prototype,data,0.5211913,0.0009895,1,
Prototype,data,0.5222326,0.0009895,3,
Prototype,data,0.5232739,0.0009895,1,
Prototype,data,0.5243152,0.0009895,"
",
Prototype,data,0.5253565,0.0009895,1,
Prototype,data,0.5263978,0.0009895,2,
Prototype,data,0.5274391,0.0009895,9,
Prototype,data,0.5284805,0.0009895,",",
Capnostat,data,0.5290207,0.0009895,4,
Prototype,data,0.5295218,0.0009895,1,
Capnostat,data,0.5301664,0.0009895,0,
Prototype,data,0.5305631,0.0009895,3,
Prototype,data,0.5316044,0.0009895,1,
Prototype,data,0.5326457,0.0009895,"
",
Prototype,data,0.533687,0.0009895,1,
Prototype,data,0.5347284,0.0009895,2,
Prototype,data,0.5357697,0.0009895,7,
Prototype,data,0.536811,0.0009895,",",
Prototype,data,0.5378523,0.0009895,1,
Prototype,data,0.5388936,0.0009895,3,
Prototype,data,0.5399349,0.0009895,1,
Prototype,data,0.5409763,0.0009895,"
",
Prototype,data,0.5420176,0.0009895,1,
Prototype,data,0.5430589,0.0009895,2,
Prototype,data,0.5441002,0.0009895,9,
Prototype,data,0.5451415,0.0009895,",",
Prototype,data,0.5461828,0.0009895,1,
Prototype,data,0.5472241,0.0009895,3,
Prototype,data,0.5482655,0.0009895,1,
Prototype,data,0.5493068,0.0009895,"
",
Prototype,data,0.5503481,0.0009895,1,
Prototype,data,0.5513894,0.0009895,2,
Capnostat,data,0.551844,0.0009895,4,
Prototype,data,0.5524307,0.0009895,7,
Capnostat,data,0.5529897,0.0009895,0,
Prototype,data,0.553472,0.0009895,",",
Prototype,data,0.5545133,0.0009895,1,
Prototype,data,0.5555547,0.0009895,3,
Prototype,data,0.556596,0.0009895,1,
Prototype,data,0.5576373,0.0009895,"
",
Prototype,data,0.5586786,0.0009895,1,
Prototype,data,0.5597199,0.0009895,2,
Prototype,data,0.5607612,0.0009895,9,
Prototype,data,0.5618025,0.0009895,",",
Prototype,data,0.5628439,0.0009895,1,
Prototype,data,0.5638852,0.0009895,3,
Prototype,data,0.5649265,0.0009895,1,
Prototype,data,0.5659678,0.0009895,"
",
Prototype,data,0.5670091,0.0009895,1,
Prototype,data,0.5680504,0.0009895,2,
Prototype,data,0.5690918,0.0009895,7,
Prototype,data,0.5701331,0.0009895,",",
Prototype,data,0.5711744,0.0009895,1,
Prototype,data,0.5722157,0.0009895,3,
Prototype,data,0.573257,0.0009895,1,
Prototype,data,0.5742983,0.0009895,"
",
Capnostat,data,0.574791,0.0009895,4,
Prototype,data,0.5753396,0.0009895,1,
Capnostat,data,0.5759367,0.0009895,0,
Prototype,data,0.576381,0.0009895,3,
Prototype,data,0.5774223,0.0009895,0,
Prototype,data,0.5784636,0.0009895,",",
